frase,situacao
sinto dor no peito e falta de ar ha dois dias,alto risco
tive um leve incomodo nas costas ontem,baixo risco
meu coracao dispara e sinto tontura frequente,alto risco
estou com dor de cabeca leve e cansaco,baixo risco
sinto pressao forte no peito irradiando para o braco esquerdo,alto risco
tive uma dor muscular apos exercicio fisico,baixo risco
acordei com falta de ar e suor frio durante a noite,alto risco
sinto um leve formigamento nas maos as vezes,baixo risco
dor no peito com nausea e suor frio ha uma hora,alto risco
estou com tosse seca e dor de garganta leve,baixo risco
meu coracao bate muito rapido e irregular ha tres dias,alto risco
sinto cansaco apos caminhadas longas mas passa rapido,baixo risco
pressao alta com dor de cabeca forte e visao embacada,alto risco
tive um enjoo leve apos comer algo pesado,baixo risco
formigamento no braco esquerdo com dor no peito constante,alto risco
dor leve nas costas que melhora com repouso,baixo risco
palpitacoes fortes com sensacao de desmaio e fraqueza,alto risco
sinto um leve cansaco no final do dia de trabalho,baixo risco
falta de ar intensa em repouso com pernas inchadas,alto risco
tive uma dor de cabeca que passou com agua,baixo risco
dor no peito que piora com respiracao e febre alta,alto risco
sinto um leve desconforto no estomago apos refeicao,baixo risco
perdi a consciencia por alguns segundos e acordei confuso,alto risco
estou com coriza e espirros desde ontem,baixo risco
suor frio intenso com dor irradiando para o pescoco,alto risco
dor muscular leve apos academia ontem,baixo risco
ritmo cardiaco irregular com tontura e falta de ar,alto risco
sinto um pouco de ansiedade antes de reunioes,baixo risco
coracao acelerado com pressao alta e dor no torax,alto risco
leve dor de cabeca que passa com repouso,baixo risco
inchazo nas pernas e dificuldade para respirar ao deitar,alto risco
sinto cansaco leve no fim de semana apos atividades,baixo risco
dor forte no peito com suor frio e mal estar geral,alto risco
tive um arroto e leve desconforto no peito apos comer,baixo risco
pressao muito alta com confusao mental e dificuldade de falar,alto risco
dor nas costas leve que melhora com alongamento,baixo risco
sensacao de aperto no peito com falta de ar ao subir escadas,alto risco
leve tontura ao levantar rapido da cama pela manha,baixo risco
palpitacoes com desmaio e extremidades frias e palidas,alto risco
sinto um cansaco normal apos dia longo de trabalho,baixo risco
